run_1,lane_1,tag_1,run_2,lane_2,tag_2,sample_accession_number,sanger_sample_id,nice_sample_id,species,background,ploidy,cross,cross_rep,selection,selection_rep,time,clone,sample,population,coverage,
6738,5,28,,,,ERS041777,Ura3_32,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,28,WAxNA_F12_1_YPD_T0_C28,WAxNA_F12_1_YPD,13.01751639,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289938/WAxNA_F12_1_YPD_T0_C28.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289938/WAxNA_F12_1_YPD_T0_C28.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290012/WAxNA_F12_1_YPD_T0_C28.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290012/WAxNA_F12_1_YPD_T0_C28.de_novo.vcf.gz.tbi
6738,5,29,,,,ERS041778,Ura3_33,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,29,WAxNA_F12_1_YPD_T0_C29,WAxNA_F12_1_YPD,11.84247021,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289970/WAxNA_F12_1_YPD_T0_C29.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289970/WAxNA_F12_1_YPD_T0_C29.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290107/WAxNA_F12_1_YPD_T0_C29.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290107/WAxNA_F12_1_YPD_T0_C29.de_novo.vcf.gz.tbi
6738,5,30,,,,ERS041779,Ura3_34,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,30,WAxNA_F12_1_YPD_T0_C30,WAxNA_F12_1_YPD,11.52777198,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289775/WAxNA_F12_1_YPD_T0_C30.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289775/WAxNA_F12_1_YPD_T0_C30.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290262/WAxNA_F12_1_YPD_T0_C30.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290262/WAxNA_F12_1_YPD_T0_C30.de_novo.vcf.gz
6738,5,31,,,,ERS041780,Ura3_35,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,31,WAxNA_F12_1_YPD_T0_C31,WAxNA_F12_1_YPD,11.91314503,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289857/WAxNA_F12_1_YPD_T0_C31.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289857/WAxNA_F12_1_YPD_T0_C31.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290172/WAxNA_F12_1_YPD_T0_C31.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290172/WAxNA_F12_1_YPD_T0_C31.de_novo.vcf.gz
6738,5,32,,,,ERS041781,Ura3_36,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,32,WAxNA_F12_1_YPD_T0_C32,WAxNA_F12_1_YPD,13.27752138,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289855/WAxNA_F12_1_YPD_T0_C32.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289855/WAxNA_F12_1_YPD_T0_C32.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290308/WAxNA_F12_1_YPD_T0_C32.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290308/WAxNA_F12_1_YPD_T0_C32.de_novo.vcf.gz
6738,5,33,,,,ERS041782,Ura3_37,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,33,WAxNA_F12_1_YPD_T0_C33,WAxNA_F12_1_YPD,11.39001246,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289671/WAxNA_F12_1_YPD_T0_C33.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289671/WAxNA_F12_1_YPD_T0_C33.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290079/WAxNA_F12_1_YPD_T0_C33.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290079/WAxNA_F12_1_YPD_T0_C33.de_novo.vcf.gz
6738,5,34,,,,ERS041783,Ura3_38,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,34,WAxNA_F12_1_YPD_T0_C34,WAxNA_F12_1_YPD,12.20606807,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289693/WAxNA_F12_1_YPD_T0_C34.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289693/WAxNA_F12_1_YPD_T0_C34.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290199/WAxNA_F12_1_YPD_T0_C34.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290199/WAxNA_F12_1_YPD_T0_C34.de_novo.vcf.gz.tbi
6738,5,35,,,,ERS041784,Ura3_39,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,35,WAxNA_F12_1_YPD_T0_C35,WAxNA_F12_1_YPD,29.13168457,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289962/WAxNA_F12_1_YPD_T0_C35.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289962/WAxNA_F12_1_YPD_T0_C35.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290266/WAxNA_F12_1_YPD_T0_C35.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290266/WAxNA_F12_1_YPD_T0_C35.de_novo.vcf.gz
6738,5,36,,,,ERS041785,Ura3_40,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,36,WAxNA_F12_1_YPD_T0_C36,WAxNA_F12_1_YPD,24.21750417,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289932/WAxNA_F12_1_YPD_T0_C36.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289932/WAxNA_F12_1_YPD_T0_C36.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290007/WAxNA_F12_1_YPD_T0_C36.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290007/WAxNA_F12_1_YPD_T0_C36.de_novo.vcf.gz.tbi
6738,5,37,,,,ERS041786,Ura3_41,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,YPD,,0,37,WAxNA_F12_1_YPD_T0_C37,WAxNA_F12_1_YPD,13.86549088,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289797/WAxNA_F12_1_YPD_T0_C37.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289797/WAxNA_F12_1_YPD_T0_C37.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290330/WAxNA_F12_1_YPD_T0_C37.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290330/WAxNA_F12_1_YPD_T0_C37.de_novo.vcf.gz.tbi
6738,5,38,,,,ERS041787,Ura3_42,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,38,WAxNA_F12_1_YPD_T0_C38,WAxNA_F12_1_YPD,15.61898393,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289778/WAxNA_F12_1_YPD_T0_C38.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289778/WAxNA_F12_1_YPD_T0_C38.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290058/WAxNA_F12_1_YPD_T0_C38.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290058/WAxNA_F12_1_YPD_T0_C38.de_novo.vcf.gz
6738,5,39,,,,ERS041788,Ura3_43,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,39,WAxNA_F12_1_YPD_T0_C39,WAxNA_F12_1_YPD,9.408820453,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289688/WAxNA_F12_1_YPD_T0_C39.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289688/WAxNA_F12_1_YPD_T0_C39.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290347/WAxNA_F12_1_YPD_T0_C39.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290347/WAxNA_F12_1_YPD_T0_C39.de_novo.vcf.gz.tbi
6738,5,40,,,,ERS041789,Ura3_44,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,40,WAxNA_F12_1_YPD_T0_C40,WAxNA_F12_1_YPD,13.55555904,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289873/WAxNA_F12_1_YPD_T0_C40.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289873/WAxNA_F12_1_YPD_T0_C40.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290195/WAxNA_F12_1_YPD_T0_C40.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290195/WAxNA_F12_1_YPD_T0_C40.de_novo.vcf.gz
6738,5,41,,,,ERS041790,Ura3_45,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,41,WAxNA_F12_1_YPD_T0_C41,WAxNA_F12_1_YPD,14.08068057,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289842/WAxNA_F12_1_YPD_T0_C41.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289842/WAxNA_F12_1_YPD_T0_C41.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290306/WAxNA_F12_1_YPD_T0_C41.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290306/WAxNA_F12_1_YPD_T0_C41.de_novo.vcf.gz.tbi
6738,5,42,,,,ERS041791,Ura3_46,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,42,WAxNA_F12_1_YPD_T0_C42,WAxNA_F12_1_YPD,15.19510395,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289941/WAxNA_F12_1_YPD_T0_C42.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289941/WAxNA_F12_1_YPD_T0_C42.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290337/WAxNA_F12_1_YPD_T0_C42.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290337/WAxNA_F12_1_YPD_T0_C42.de_novo.vcf.gz.tbi
6738,5,43,,,,ERS041792,Ura3_47,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,YPD,,0,43,WAxNA_F12_1_YPD_T0_C43,WAxNA_F12_1_YPD,16.66077515,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289978/WAxNA_F12_1_YPD_T0_C43.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289978/WAxNA_F12_1_YPD_T0_C43.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290070/WAxNA_F12_1_YPD_T0_C43.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290070/WAxNA_F12_1_YPD_T0_C43.de_novo.vcf.gz.tbi
6738,5,44,,,,ERS041793,Ura3_48,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,YPD,,0,44,WAxNA_F12_1_YPD_T0_C44,WAxNA_F12_1_YPD,11.82980813,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289841/WAxNA_F12_1_YPD_T0_C44.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289841/WAxNA_F12_1_YPD_T0_C44.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290154/WAxNA_F12_1_YPD_T0_C44.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290154/WAxNA_F12_1_YPD_T0_C44.de_novo.vcf.gz.tbi
6738,5,45,,,,ERS041794,Ura3_49,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,45,WAxNA_F12_1_YPD_T0_C45,WAxNA_F12_1_YPD,9.517308938,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289744/WAxNA_F12_1_YPD_T0_C45.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289744/WAxNA_F12_1_YPD_T0_C45.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290229/WAxNA_F12_1_YPD_T0_C45.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290229/WAxNA_F12_1_YPD_T0_C45.de_novo.vcf.gz
6738,5,46,,,,ERS041795,Ura3_50,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,46,WAxNA_F12_1_YPD_T0_C46,WAxNA_F12_1_YPD,22.12120048,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289658/WAxNA_F12_1_YPD_T0_C46.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289658/WAxNA_F12_1_YPD_T0_C46.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290227/WAxNA_F12_1_YPD_T0_C46.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290227/WAxNA_F12_1_YPD_T0_C46.de_novo.vcf.gz
6738,5,47,,,,ERS041796,Ura3_51,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,47,WAxNA_F12_1_YPD_T0_C47,WAxNA_F12_1_YPD,22.86960065,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289702/WAxNA_F12_1_YPD_T0_C47.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289702/WAxNA_F12_1_YPD_T0_C47.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290057/WAxNA_F12_1_YPD_T0_C47.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290057/WAxNA_F12_1_YPD_T0_C47.de_novo.vcf.gz.tbi
6738,5,48,,,,ERS041797,Ura3_52,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,48,WAxNA_F12_1_YPD_T0_C48,WAxNA_F12_1_YPD,24.0208638,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289981/WAxNA_F12_1_YPD_T0_C48.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289981/WAxNA_F12_1_YPD_T0_C48.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290078/WAxNA_F12_1_YPD_T0_C48.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290078/WAxNA_F12_1_YPD_T0_C48.de_novo.vcf.gz
6738,5,49,,,,ERS041798,Ura3_53,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,YPD,,0,49,WAxNA_F12_1_YPD_T0_C49,WAxNA_F12_1_YPD,22.45151291,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289971/WAxNA_F12_1_YPD_T0_C49.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289971/WAxNA_F12_1_YPD_T0_C49.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290329/WAxNA_F12_1_YPD_T0_C49.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290329/WAxNA_F12_1_YPD_T0_C49.de_novo.vcf.gz.tbi
6738,5,50,,,,ERS041799,Ura3_54,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,50,WAxNA_F12_1_YPD_T0_C50,WAxNA_F12_1_YPD,20.06482748,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289801/WAxNA_F12_1_YPD_T0_C50.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289801/WAxNA_F12_1_YPD_T0_C50.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290173/WAxNA_F12_1_YPD_T0_C50.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290173/WAxNA_F12_1_YPD_T0_C50.de_novo.vcf.gz.tbi
6738,5,51,,,,ERS041800,Ura3_55,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,51,WAxNA_F12_1_YPD_T0_C51,WAxNA_F12_1_YPD,14.15296558,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289709/WAxNA_F12_1_YPD_T0_C51.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289709/WAxNA_F12_1_YPD_T0_C51.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290157/WAxNA_F12_1_YPD_T0_C51.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290157/WAxNA_F12_1_YPD_T0_C51.de_novo.vcf.gz
6738,5,52,,,,ERS041801,Ura3_56,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,52,WAxNA_F12_1_YPD_T0_C52,WAxNA_F12_1_YPD,15.10685637,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289711/WAxNA_F12_1_YPD_T0_C52.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289711/WAxNA_F12_1_YPD_T0_C52.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290073/WAxNA_F12_1_YPD_T0_C52.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290073/WAxNA_F12_1_YPD_T0_C52.de_novo.vcf.gz
6738,5,53,,,,ERS041802,Ura3_57,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,53,WAxNA_F12_1_YPD_T0_C53,WAxNA_F12_1_YPD,14.86516855,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289832/WAxNA_F12_1_YPD_T0_C53.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289832/WAxNA_F12_1_YPD_T0_C53.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290365/WAxNA_F12_1_YPD_T0_C53.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290365/WAxNA_F12_1_YPD_T0_C53.de_novo.vcf.gz
6738,5,54,,,,ERS041803,Ura3_58,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,YPD,,0,54,WAxNA_F12_1_YPD_T0_C54,WAxNA_F12_1_YPD,15.08120227,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289729/WAxNA_F12_1_YPD_T0_C54.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289729/WAxNA_F12_1_YPD_T0_C54.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290244/WAxNA_F12_1_YPD_T0_C54.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290244/WAxNA_F12_1_YPD_T0_C54.de_novo.vcf.gz.tbi
6738,5,55,,,,ERS041804,Ura3_59,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,55,WAxNA_F12_1_YPD_T0_C55,WAxNA_F12_1_YPD,13.61600552,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289637/WAxNA_F12_1_YPD_T0_C55.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289637/WAxNA_F12_1_YPD_T0_C55.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290214/WAxNA_F12_1_YPD_T0_C55.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290214/WAxNA_F12_1_YPD_T0_C55.de_novo.vcf.gz.tbi
6738,5,56,,,,ERS041805,Ura3_60,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,56,WAxNA_F12_1_YPD_T0_C56,WAxNA_F12_1_YPD,12.22105499,ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290004/WAxNA_F12_1_YPD_T0_C56.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290004/WAxNA_F12_1_YPD_T0_C56.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290309/WAxNA_F12_1_YPD_T0_C56.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290309/WAxNA_F12_1_YPD_T0_C56.de_novo.vcf.gz
6738,5,57,,,,ERS041806,Ura3_61,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,57,WAxNA_F12_1_YPD_T0_C57,WAxNA_F12_1_YPD,14.66521332,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289866/WAxNA_F12_1_YPD_T0_C57.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289866/WAxNA_F12_1_YPD_T0_C57.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290345/WAxNA_F12_1_YPD_T0_C57.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290345/WAxNA_F12_1_YPD_T0_C57.de_novo.vcf.gz
6738,5,58,,,,ERS041807,Ura3_62,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,58,WAxNA_F12_1_YPD_T0_C58,WAxNA_F12_1_YPD,15.50289322,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289958/WAxNA_F12_1_YPD_T0_C58.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289958/WAxNA_F12_1_YPD_T0_C58.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290213/WAxNA_F12_1_YPD_T0_C58.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290213/WAxNA_F12_1_YPD_T0_C58.de_novo.vcf.gz
6738,5,59,,,,ERS041808,Ura3_63,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,YPD,,0,59,WAxNA_F12_1_YPD_T0_C59,WAxNA_F12_1_YPD,18.64970825,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289935/WAxNA_F12_1_YPD_T0_C59.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289935/WAxNA_F12_1_YPD_T0_C59.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290124/WAxNA_F12_1_YPD_T0_C59.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290124/WAxNA_F12_1_YPD_T0_C59.de_novo.vcf.gz.tbi
6738,5,60,,,,ERS041809,Ura3_64,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,60,WAxNA_F12_1_YPD_T0_C60,WAxNA_F12_1_YPD,36.60111191,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289818/WAxNA_F12_1_YPD_T0_C60.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289818/WAxNA_F12_1_YPD_T0_C60.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290086/WAxNA_F12_1_YPD_T0_C60.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290086/WAxNA_F12_1_YPD_T0_C60.de_novo.vcf.gz.tbi
6738,5,61,,,,ERS041810,Ura3_65,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,61,WAxNA_F12_1_YPD_T0_C61,WAxNA_F12_1_YPD,18.50396276,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289908/WAxNA_F12_1_YPD_T0_C61.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289908/WAxNA_F12_1_YPD_T0_C61.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290348/WAxNA_F12_1_YPD_T0_C61.de_novo.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290348/WAxNA_F12_1_YPD_T0_C61.de_novo.vcf.gz.tbi
6738,5,62,,,,ERS041811,Ura3_66,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,62,WAxNA_F12_1_YPD_T0_C62,WAxNA_F12_1_YPD,12.96377208,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289820/WAxNA_F12_1_YPD_T0_C62.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289820/WAxNA_F12_1_YPD_T0_C62.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290338/WAxNA_F12_1_YPD_T0_C62.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290338/WAxNA_F12_1_YPD_T0_C62.de_novo.vcf.gz
6738,5,63,,,,ERS041812,Ura3_67,,Saccharomyces cerevisiae,WAxNA,diploid,F12,1,YPD,,0,63,WAxNA_F12_1_YPD_T0_C63,WAxNA_F12_1_YPD,11.69635965,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289883/WAxNA_F12_1_YPD_T0_C63.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289883/WAxNA_F12_1_YPD_T0_C63.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290222/WAxNA_F12_1_YPD_T0_C63.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290222/WAxNA_F12_1_YPD_T0_C63.de_novo.vcf.gz
6738,5,64,,,,ERS041813,Ura3_68,,Saccharomyces cerevisiae,WAxNA,haploid,F12,1,YPD,,0,64,WAxNA_F12_1_YPD_T0_C64,WAxNA_F12_1_YPD,12.36239107,ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289946/WAxNA_F12_1_YPD_T0_C64.background.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ289/ERZ289946/WAxNA_F12_1_YPD_T0_C64.background.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290177/WAxNA_F12_1_YPD_T0_C64.de_novo.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ290/ERZ290177/WAxNA_F12_1_YPD_T0_C64.de_novo.vcf.gz
